epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2680.5,0.90782,0.80627,1.29101,0.75039,0.8407,0.87079,0.55205,1.31012,1.49985,1.83185,0.000412749,0.000412749,0.000412749
78,2714.78,0.9188,0.797,1.29729,0.84493,0.75479,0.86815,0.56043,1.30364,1.33398,1.8271,0.000396246,0.000396246,0.000396246
79,2748.87,0.88474,0.76303,1.26189,0.81518,0.76323,0.85273,0.53107,1.33136,1.41486,1.82088,0.000379743,0.000379743,0.000379743
80,2783.13,0.86204,0.74926,1.25482,0.76908,0.81729,0.85263,0.53739,1.29507,1.46517,1.8118,0.000363239,0.000363239,0.000363239
81,2817.49,0.85533,0.7323,1.25778,0.78919,0.80687,0.866,0.5625,1.29002,1.37485,1.78054,0.000346736,0.000346736,0.000346736
82,2851.6,0.86898,0.75471,1.25815,0.74224,0.85529,0.87344,0.5652,1.30279,1.35302,1.82678,0.000330233,0.000330233,0.000330233
83,2885.72,0.86028,0.75608,1.262,0.83485,0.77646,0.86542,0.56393,1.32258,1.22107,1.80759,0.000313729,0.000313729,0.000313729
84,2920.04,0.85671,0.74604,1.25701,0.82672,0.808,0.85923,0.54368,1.31696,1.31379,1.81686,0.000297226,0.000297226,0.000297226
85,2954.43,0.87704,0.76743,1.30175,0.81105,0.74219,0.85601,0.56276,1.28209,1.25651,1.79519,0.000280723,0.000280723,0.000280723
86,2988.59,0.84114,0.72228,1.25365,0.71598,0.88633,0.86695,0.56138,1.28821,1.32538,1.83127,0.00026422,0.00026422,0.00026422
87,3022.95,0.85336,0.72139,1.26769,0.80379,0.79976,0.872,0.57031,1.31486,1.27662,1.81816,0.000247716,0.000247716,0.000247716
88,3056.95,0.84257,0.73272,1.25834,0.87368,0.77618,0.88302,0.57044,1.3085,1.28587,1.80322,0.000231213,0.000231213,0.000231213
89,3091.51,0.84243,0.71548,1.25439,0.83133,0.86571,0.89535,0.58616,1.29753,1.22942,1.80363,0.00021471,0.00021471,0.00021471
90,3125.67,0.81309,0.69558,1.22839,0.84831,0.8308,0.88394,0.5636,1.32618,1.31114,1.84736,0.000198206,0.000198206,0.000198206
91,3168.85,0.70478,0.51585,1.22162,0.746,0.88245,0.87097,0.57826,1.29834,1.31304,1.83505,0.000181703,0.000181703,0.000181703
92,3202.96,0.65181,0.46778,1.17359,0.85312,0.82942,0.87957,0.58557,1.29913,1.37573,1.82979,0.0001652,0.0001652,0.0001652
93,3238.89,0.64931,0.45648,1.15974,0.84423,0.82786,0.88703,0.5839,1.24378,1.3649,1.79838,0.000148696,0.000148696,0.000148696
94,3280.1,0.60916,0.46692,1.13247,0.88774,0.77928,0.88292,0.60812,1.23662,1.29539,1.7693,0.000132193,0.000132193,0.000132193
95,3314.58,0.62525,0.44152,1.16,0.8592,0.81754,0.89049,0.59345,1.24821,1.29106,1.80999,0.00011569,0.00011569,0.00011569
96,3348.99,0.59845,0.42212,1.11979,0.82806,0.85163,0.89131,0.60631,1.23265,1.3272,1.7911,9.91865e-05,9.91865e-05,9.91865e-05
97,3383.74,0.59081,0.42186,1.12886,0.87429,0.80743,0.89223,0.60679,1.23124,1.29575,1.76975,8.26832e-05,8.26832e-05,8.26832e-05
98,3418.25,0.58749,0.41313,1.11557,0.87648,0.79308,0.89145,0.59689,1.22504,1.3366,1.77908,6.61799e-05,6.61799e-05,6.61799e-05
99,3452.91,0.56013,0.39918,1.0965,0.83473,0.84357,0.90135,0.60591,1.24228,1.32067,1.79969,4.96766e-05,4.96766e-05,4.96766e-05
100,3487.39,0.56607,0.39346,1.10277,0.88068,0.78247,0.90167,0.60674,1.24476,1.36344,1.81496,3.31733e-05,3.31733e-05,3.31733e-05
