epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1152.17,0.49116,0.36475,1.01008,0.85533,0.86261,0.90821,0.57518,1.35308,0.84768,2.00891,0.00036874,0.00036874,0.00036874
120,1161.99,0.49969,0.38016,1.03936,0.82343,0.87377,0.8999,0.56516,1.3555,0.87271,1.98849,0.000357738,0.000357738,0.000357738
121,1171.76,0.47154,0.35312,1.00309,0.85419,0.78263,0.8755,0.55719,1.29412,0.89023,1.91223,0.000346736,0.000346736,0.000346736
122,1181.07,0.46521,0.34692,0.99465,0.83963,0.81419,0.8885,0.54117,1.34084,0.96049,1.96391,0.000335734,0.000335734,0.000335734
123,1191.01,0.4623,0.34164,0.99884,0.86791,0.8332,0.88866,0.53767,1.36908,0.95002,2.00042,0.000324732,0.000324732,0.000324732
124,1200.58,0.46579,0.35376,1.00135,0.84969,0.81828,0.8887,0.52969,1.41091,0.96293,2.05379,0.000313729,0.000313729,0.000313729
125,1210.36,0.47884,0.34735,1.00796,0.8088,0.85128,0.89723,0.56108,1.37594,0.92077,1.9999,0.000302727,0.000302727,0.000302727
126,1219.83,0.46721,0.35208,1.00431,0.80652,0.87158,0.89085,0.54578,1.36143,0.94367,1.96616,0.000291725,0.000291725,0.000291725
127,1229.07,0.47171,0.35652,1.00118,0.88799,0.80893,0.8862,0.54059,1.39891,0.93247,2.00912,0.000280723,0.000280723,0.000280723
128,1238.28,0.45308,0.33724,0.99492,0.82529,0.81933,0.86985,0.54566,1.37165,1.01338,1.97225,0.000269721,0.000269721,0.000269721
129,1247.61,0.45381,0.34191,0.98531,0.87979,0.82404,0.87696,0.54323,1.34831,0.94592,2.0164,0.000258718,0.000258718,0.000258718
130,1256.76,0.44242,0.33106,0.98737,0.83684,0.82309,0.86662,0.53355,1.33717,0.94217,1.99999,0.000247716,0.000247716,0.000247716
131,1266.32,0.45349,0.34105,0.99352,0.81105,0.84608,0.86021,0.54149,1.28974,0.92948,1.95092,0.000236714,0.000236714,0.000236714
132,1275.61,0.45708,0.34638,0.99548,0.84075,0.87669,0.88534,0.56253,1.28244,0.8969,1.92641,0.000225712,0.000225712,0.000225712
133,1285.43,0.45728,0.33333,0.9909,0.83154,0.83868,0.88005,0.55136,1.33558,0.95304,1.97592,0.00021471,0.00021471,0.00021471
134,1295.04,0.43713,0.32162,0.98258,0.84874,0.80434,0.88788,0.56121,1.323,0.93314,1.97669,0.000203707,0.000203707,0.000203707
135,1304.64,0.4422,0.33505,0.98991,0.81009,0.8649,0.88846,0.56435,1.30658,0.94019,1.95868,0.000192705,0.000192705,0.000192705
136,1314.43,0.45775,0.33953,1.02606,0.86423,0.80983,0.88874,0.57779,1.26983,0.89367,1.93493,0.000181703,0.000181703,0.000181703
137,1324.36,0.4322,0.33288,0.98972,0.89814,0.77421,0.89527,0.55657,1.33619,0.91292,2.00021,0.000170701,0.000170701,0.000170701
138,1333.97,0.43973,0.34361,0.98568,0.8737,0.8074,0.88885,0.54566,1.33201,0.88758,1.99159,0.000159699,0.000159699,0.000159699
139,1343.6,0.44099,0.32148,0.98192,0.88284,0.81029,0.88608,0.55619,1.31763,0.91017,1.97428,0.000148696,0.000148696,0.000148696
140,1353.35,0.42804,0.329,0.9834,0.87732,0.8299,0.88308,0.56869,1.29219,0.87678,1.9747,0.000137694,0.000137694,0.000137694
141,1394.4,0.31402,0.25159,0.91962,0.85479,0.82926,0.87033,0.52741,1.34915,0.95038,2.04175,0.000126692,0.000126692,0.000126692
142,1402.85,0.29329,0.21232,0.90867,0.85056,0.82517,0.87837,0.5561,1.2831,0.9,2.01165,0.00011569,0.00011569,0.00011569
143,1411.37,0.28951,0.20931,0.90074,0.85487,0.83193,0.87889,0.56101,1.29751,0.89579,2.016,0.000104688,0.000104688,0.000104688
144,1419.89,0.27162,0.20197,0.89291,0.83637,0.82411,0.87617,0.56238,1.28,0.93797,1.97868,9.36854e-05,9.36854e-05,9.36854e-05
145,1428.41,0.27434,0.20161,0.8976,0.86608,0.83502,0.87801,0.55316,1.26407,0.88672,1.96138,8.26832e-05,8.26832e-05,8.26832e-05
146,1436.93,0.30177,0.2132,0.9649,0.8447,0.81014,0.87081,0.55473,1.27356,0.89262,1.98775,7.1681e-05,7.1681e-05,7.1681e-05
147,1445.49,0.2896,0.19962,0.91336,0.86142,0.8162,0.87437,0.55265,1.2709,0.92565,1.96909,6.06788e-05,6.06788e-05,6.06788e-05
148,1454.03,0.25646,0.18833,0.88305,0.86041,0.80236,0.86734,0.55697,1.27219,0.91363,1.9775,4.96766e-05,4.96766e-05,4.96766e-05
149,1462.52,0.2527,0.18344,0.87884,0.8535,0.80972,0.87255,0.55789,1.26148,0.90464,1.96674,3.86744e-05,3.86744e-05,3.86744e-05
150,1471.11,0.25617,0.18638,0.88641,0.84002,0.81475,0.87317,0.56215,1.25385,0.89961,1.96279,2.76722e-05,2.76722e-05,2.76722e-05
